,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk
186,74,1,3,1,1,2,5129,9,-1
187,68,0,0,1,1,2,1175,16,1
188,20,0,2,3,2,1,674,12,-1
189,33,1,2,3,1,2,3244,18,1
191,34,0,1,1,2,2,3844,48,-1
192,36,0,2,3,1,2,3915,27,-1
194,21,0,2,2,2,2,3031,45,-1
195,34,1,3,3,1,2,1501,9,-1
197,27,1,2,2,2,2,951,12,-1
199,40,0,3,3,1,2,4297,18,-1
201,27,0,1,3,1,1,1168,12,1
203,21,0,2,2,1,1,902,12,-1
205,38,0,3,1,1,1,10623,30,1
207,26,0,2,3,1,2,1424,12,1
208,21,0,1,3,1,1,6568,24,1
212,50,0,2,3,1,1,5293,27,-1
213,66,0,3,3,1,3,1908,30,-1
216,31,0,2,3,1,1,3104,18,1
217,23,0,2,3,1,3,3913,36,1
218,24,0,1,2,1,1,3021,24,1
220,26,0,1,3,1,2,625,12,1
226,27,0,2,3,4,2,10961,48,-1
227,53,0,3,1,1,1,7865,12,-1
229,22,0,2,1,1,1,3149,24,1
230,26,0,2,3,1,3,4210,36,-1
233,25,0,1,3,1,2,866,18,1
235,30,0,3,3,1,1,1823,24,-1
237,61,0,1,2,2,2,2767,21,-1
239,39,0,2,3,1,1,2522,30,1
242,24,0,2,1,1,1,4605,48,-1
248,26,0,2,3,1,3,1925,24,1
250,39,1,1,3,4,1,666,6,1
251,46,1,1,3,1,3,2251,12,1
252,24,1,2,3,1,2,2150,30,-1
257,29,0,2,1,1,1,2149,12,-1
260,27,0,2,3,1,1,1657,12,1
261,55,1,2,3,1,1,1603,24,1
262,36,0,3,1,1,1,5302,18,1
265,37,0,2,3,1,2,802,15,-1
268,45,0,3,3,1,1,8978,14,-1
273,28,0,2,3,1,2,3060,48,-1
274,34,0,1,3,1,1,11998,30,-1
284,37,0,2,3,2,2,3878,24,1
285,35,1,1,3,1,1,10722,47,1
286,26,0,2,3,1,1,4788,48,1
287,31,0,3,1,2,2,7582,48,1
288,49,1,2,3,1,2,1092,12,1
289,48,0,2,3,1,1,1024,24,-1
291,28,0,3,2,1,2,9398,36,-1
292,44,1,3,1,1,1,6419,24,1
293,56,0,2,1,1,3,4796,42,1
295,26,1,2,3,1,2,9960,48,-1
299,32,0,2,3,4,2,2745,21,1
301,42,1,2,3,1,2,3804,36,-1
303,49,0,2,3,1,1,1038,10,1
307,33,0,1,3,2,1,727,12,-1
308,24,1,2,3,1,2,1237,8,-1
309,22,0,1,2,1,2,276,9,1
312,26,1,2,3,1,3,3749,24,1
313,25,0,1,3,1,2,685,12,-1
315,31,0,2,3,1,1,2746,36,-1
316,38,0,1,3,1,1,708,12,1
319,27,1,1,3,1,1,3643,15,1
320,28,0,3,3,1,2,4249,30,-1
321,32,0,2,3,1,1,1938,24,-1
322,34,0,3,1,1,1,2910,24,1
323,28,0,2,3,4,1,2659,18,1
325,39,0,1,3,1,1,3398,8,1
328,31,0,2,3,1,3,4473,36,1
329,28,0,2,3,1,2,1068,6,1
330,75,0,3,1,1,1,6615,24,1
332,24,1,3,3,2,2,7408,60,-1
334,23,0,2,2,1,1,4110,24,-1
335,44,0,3,2,1,1,3384,6,-1
336,23,1,1,3,1,2,2101,13,1
338,28,0,2,3,1,1,4169,24,1
339,31,0,1,3,1,2,1521,10,1
340,24,1,2,1,1,2,5743,24,1
341,26,1,1,2,1,1,3599,21,1
342,25,0,2,2,3,2,3213,18,1
343,33,0,3,3,1,2,4439,18,1
344,37,0,1,3,1,3,3949,10,1
346,23,0,2,3,1,2,882,13,1
347,23,1,0,2,3,2,3758,24,1
349,32,0,2,1,4,2,1136,9,-1
351,29,1,2,3,1,2,959,9,-1
353,28,0,2,2,1,1,6199,12,-1
355,23,0,1,3,1,2,1246,24,-1
359,23,1,2,2,1,1,2406,30,-1
362,36,1,2,3,1,3,2247,12,1
364,25,0,0,3,1,1,2473,18,-1
367,22,1,2,2,1,1,3650,18,1
368,42,0,2,3,1,1,3446,36,-1
369,40,1,2,2,1,2,3001,18,1
374,60,1,3,1,2,2,14782,60,-1
375,37,1,2,2,1,1,7685,48,-1
378,57,0,3,1,1,2,14318,36,-1
381,38,1,3,1,1,2,12976,18,-1
383,26,0,2,3,1,3,1330,12,1
387,40,0,3,3,1,2,7374,18,1
388,27,0,2,3,3,2,2326,15,1
391,19,1,1,2,4,2,983,12,1
392,39,0,3,1,1,1,3249,36,1
393,31,1,2,3,1,1,1957,6,1
395,32,0,2,2,2,2,11760,39,1
396,55,1,3,1,1,1,2578,12,1
397,46,0,2,3,1,1,2348,36,1
398,46,0,2,2,1,2,1223,12,-1
405,22,0,2,3,1,2,2039,24,-1
407,27,0,2,3,1,1,1053,15,1
409,28,0,2,3,3,3,939,12,-1
410,20,1,2,3,1,2,1967,24,1
416,33,0,1,3,1,1,2579,12,-1
422,47,0,1,3,1,2,958,12,1
425,21,0,2,2,1,2,2779,18,1
429,55,1,0,1,1,1,1190,18,-1
431,29,0,3,3,1,2,11328,24,-1
432,36,0,3,1,1,1,1872,6,1
434,25,0,2,3,1,1,2136,9,1
438,65,0,0,3,1,1,3394,42,1
439,26,1,0,3,1,3,609,12,-1
441,30,1,2,3,1,1,1620,12,1
442,29,0,2,3,1,2,2629,20,1
444,30,1,3,3,1,2,5096,48,-1
446,34,1,2,3,1,1,1842,36,-1
447,35,0,2,3,1,2,2576,7,1
449,61,0,2,3,4,2,1512,15,-1
454,31,0,2,3,1,1,4817,24,-1
456,36,0,2,2,1,1,3905,11,1
457,35,0,2,1,1,1,3386,12,-1
458,27,1,2,3,1,1,343,6,1
460,37,0,2,3,1,1,3620,36,1
461,36,0,2,3,1,1,1721,15,1
462,34,1,3,2,1,2,3017,12,1
465,63,0,2,3,1,1,2924,24,1
466,29,1,1,2,1,1,1659,24,-1
470,22,0,2,2,2,2,3092,24,-1
471,23,1,2,3,1,1,448,6,-1
472,28,0,1,3,1,1,654,9,-1
474,33,0,2,3,1,2,1245,18,-1
475,26,1,2,2,1,1,3114,18,-1
477,25,0,2,3,1,3,5152,24,1
478,39,0,1,3,2,2,1037,12,1
479,44,0,2,3,1,1,1478,15,1
480,23,1,1,3,1,2,3573,12,1
481,26,0,2,3,1,2,1201,24,1
482,57,1,2,2,4,1,3622,30,1
485,47,0,3,3,1,2,1209,6,-1
491,42,1,3,1,1,2,8318,27,-1
494,39,0,1,2,1,1,2122,12,1
496,29,0,3,2,2,2,9034,36,-1
498,32,0,1,3,1,2,1301,18,1
499,28,0,2,3,2,3,1323,6,1
500,27,1,2,3,1,1,3123,24,-1
501,42,0,2,1,1,1,5493,36,1
502,49,0,2,3,2,3,1126,9,1
503,38,0,2,3,2,2,1216,24,-1
504,24,1,2,2,1,1,1207,24,-1
506,36,0,2,3,3,3,2360,15,1
507,34,0,3,3,2,2,6850,15,-1
510,26,0,2,3,1,1,759,12,-1
512,26,0,2,2,1,3,2687,15,1
513,20,0,2,2,1,2,585,12,1
515,37,1,2,3,1,1,609,6,1
516,40,0,1,3,1,1,1361,6,1
518,43,0,2,3,2,1,1203,6,1
521,24,1,2,3,1,1,3190,18,-1
522,53,0,2,1,1,1,7119,48,-1
524,26,1,1,3,1,2,1113,18,1
525,30,0,2,3,1,2,7966,26,1
528,31,0,2,2,1,1,2302,36,-1
529,41,0,1,3,1,1,662,6,1
530,32,0,2,3,1,2,2273,36,1
531,28,1,2,2,2,2,2631,15,-1
535,33,0,2,2,1,3,2319,21,-1
537,37,1,2,3,1,2,3612,18,1
538,42,0,3,1,1,1,7763,48,-1
539,45,1,1,3,1,3,3049,18,1
540,23,0,2,2,1,2,1534,12,-1
543,34,0,1,3,1,3,2864,18,-1
545,43,0,2,1,1,1,1333,24,-1
548,24,1,1,3,1,1,626,12,-1
552,34,0,2,3,1,1,6999,48,-1
553,27,0,2,3,2,2,1995,12,1
554,67,1,3,3,1,2,1199,9,1
555,22,0,2,3,1,2,1331,12,-1
556,28,1,2,3,2,2,2278,18,-1
558,27,0,2,3,1,1,3552,24,-1
559,31,0,1,3,1,2,1928,18,-1
561,24,0,1,2,1,1,1546,24,-1
562,29,1,2,3,1,3,683,6,1
565,23,1,2,2,2,2,1553,24,1
566,36,0,2,3,1,1,1372,12,-1
569,31,1,2,3,1,1,6758,48,-1
570,23,1,1,2,1,1,3234,24,-1
573,22,1,1,3,1,1,806,15,1
574,27,0,1,3,1,2,1082,9,1
576,27,1,2,3,1,2,2930,12,1
578,27,0,2,3,1,2,2820,36,-1
580,30,0,2,3,1,2,1056,18,-1
581,49,0,1,3,1,2,3124,12,1
583,33,0,1,2,1,2,2384,36,-1
585,20,1,2,2,1,1,2039,18,-1
586,36,0,2,2,1,1,2799,9,1
587,21,0,1,3,1,1,1289,12,1
588,47,0,1,3,1,1,1217,18,-1
589,60,0,2,3,1,1,2246,12,-1
590,58,1,1,3,1,1,385,12,1
593,20,1,1,2,1,2,2718,24,-1
595,32,1,1,3,2,2,931,6,-1
596,23,1,2,2,1,1,1442,24,-1
597,36,0,1,3,1,2,4241,24,-1
600,45,1,2,3,1,2,2329,7,1
601,30,1,2,3,1,2,918,9,-1
602,34,1,1,1,1,2,1837,24,-1
604,23,1,2,3,1,3,1275,10,1
605,22,0,2,3,3,1,2828,24,1
607,50,1,2,1,2,2,2671,36,-1
610,22,1,2,3,2,1,741,12,-1
611,48,1,1,1,2,3,1240,10,-1
612,29,1,2,3,4,1,3357,21,1
613,22,1,2,2,1,1,3632,24,1
617,37,0,2,2,1,1,3676,6,1
618,21,1,2,2,2,2,3441,30,-1
620,27,0,2,3,1,2,3652,21,1
623,22,1,2,2,1,1,1858,12,1
624,65,0,2,1,1,1,2600,18,-1
626,41,0,2,3,1,3,2116,6,1
627,29,0,2,3,2,2,1437,9,-1
630,28,1,2,3,1,1,3660,24,1
631,44,0,2,3,1,1,1553,18,-1
634,25,1,1,3,1,2,1355,24,-1
639,26,0,2,3,1,1,4370,42,-1
640,27,1,0,3,1,1,750,18,-1
641,38,0,1,3,1,2,1308,15,1
644,32,0,3,3,1,1,1880,18,1
646,32,0,2,3,1,1,4583,30,1
648,38,0,2,1,1,3,947,24,-1
649,40,0,1,2,1,1,684,12,-1
650,50,0,3,1,1,1,7476,48,1
651,37,0,1,3,1,2,1922,12,-1
652,45,0,2,3,1,1,2303,24,-1
653,42,0,3,3,2,2,8086,36,-1
655,22,0,2,1,1,1,3973,14,1
656,41,0,1,3,1,2,888,12,-1
658,28,1,2,3,1,2,4221,30,1
659,41,0,2,3,1,2,6361,18,1
660,23,0,2,2,1,3,1297,12,1
663,35,0,3,3,1,2,1050,6,1
664,50,1,1,3,1,3,1047,6,1
666,34,0,2,3,4,2,3496,30,1
668,43,0,2,2,1,1,4843,12,-1
669,47,0,2,3,1,3,3017,30,1
677,24,0,2,3,2,2,5595,72,-1
678,64,0,1,2,1,1,2384,24,1
684,31,0,1,3,2,2,9857,36,1
687,30,0,2,1,2,2,2862,36,1
689,31,0,2,3,4,1,3651,12,1
690,25,0,2,3,1,1,975,15,1
691,25,1,1,3,2,2,2631,15,1
692,29,0,2,3,2,2,2896,24,1
696,29,0,2,3,1,2,1103,12,1
699,40,0,3,2,1,3,1905,15,1
701,46,0,2,1,1,1,6331,48,-1
702,47,1,2,1,2,3,1377,24,1
703,41,0,2,3,2,2,2503,30,1
704,32,1,2,3,1,2,2528,27,1
706,24,0,2,3,2,2,6560,48,-1
707,25,1,2,2,1,2,2969,12,-1
708,25,1,2,3,1,2,1206,9,1
709,37,0,1,3,1,2,2118,9,1
711,35,1,2,1,1,1,1198,6,-1
713,25,0,1,3,1,1,1138,9,1
714,27,0,3,3,1,2,14027,60,-1
719,31,0,2,3,2,2,6148,20,1
720,34,0,3,3,1,3,1337,9,-1
721,24,1,2,2,4,2,433,6,-1
722,24,1,1,3,1,1,1228,12,-1
723,66,1,1,3,3,2,790,9,1
727,25,1,2,2,1,1,1882,18,-1
728,59,1,2,2,1,2,6416,48,-1
729,36,0,2,3,4,3,1275,24,1
730,33,0,2,3,1,2,6403,24,1
731,21,0,1,2,1,1,1987,24,-1
732,44,1,1,3,1,2,760,8,1
736,23,1,3,2,1,2,11560,24,-1
737,35,0,1,3,2,1,4380,18,1
739,26,1,1,2,2,2,4280,30,-1
740,32,0,2,3,2,1,2325,24,1
741,23,0,1,3,1,2,1048,10,1
743,22,0,2,3,3,1,2483,24,1
745,28,0,1,3,1,1,1797,13,1
746,23,1,2,2,1,1,2511,15,1
747,37,1,1,3,1,1,1274,12,-1
750,49,1,2,3,1,1,428,6,1
751,23,1,1,3,1,1,976,18,-1
752,23,1,1,2,2,2,841,12,1
756,74,0,0,3,1,3,1299,6,1
759,35,0,2,3,1,1,691,12,-1
761,24,1,2,2,1,1,2124,18,-1
762,24,0,1,3,1,1,2214,12,1
765,40,0,1,3,1,2,1155,12,1
766,31,0,1,3,1,1,3108,30,-1
768,28,0,2,2,1,2,3617,12,1
771,25,1,3,3,1,1,8065,36,-1
774,66,0,0,1,3,3,1480,12,1
777,25,1,2,3,1,1,3509,18,1
779,67,1,2,3,1,2,3872,18,1
780,25,0,2,3,1,2,4933,39,-1
782,31,0,1,3,1,2,1410,12,1
783,23,1,1,3,2,2,836,12,-1
785,35,0,1,3,4,2,1941,18,1
788,50,0,2,1,1,2,6224,48,-1
789,27,0,2,3,1,1,5998,40,-1
790,39,1,2,3,1,2,1188,21,-1
793,51,0,2,1,1,3,2892,24,1
801,48,1,1,2,1,2,1795,18,1
802,24,1,2,3,1,1,4272,20,1
805,24,0,2,3,1,1,9271,36,-1
806,26,0,1,3,1,2,590,6,1
808,55,0,3,1,1,2,9283,42,1
809,26,1,0,2,1,2,1778,15,-1
810,26,0,2,3,1,2,907,8,1
811,28,0,1,3,1,2,484,6,1
812,24,0,2,3,1,1,9629,36,-1
813,54,0,2,3,1,1,3051,48,-1
814,46,0,2,1,1,1,3931,48,-1
815,54,1,2,2,1,2,7432,36,1
818,43,0,3,3,1,1,15857,36,1
819,26,0,2,3,1,1,1345,18,-1
821,24,0,2,3,1,3,3016,12,1
822,41,0,2,3,1,1,2712,36,-1
823,47,0,1,3,1,1,731,8,1
825,30,0,2,3,1,1,1602,21,1
826,33,1,2,2,1,1,3966,18,-1
831,23,1,2,2,1,1,1216,18,-1
832,29,0,2,2,1,1,11816,45,-1
834,25,1,1,3,1,3,2327,15,-1
835,48,0,2,3,1,1,1082,12,-1
838,63,0,2,3,1,1,2957,24,1
840,29,0,2,3,1,1,5179,36,-1
848,59,0,2,3,1,1,1364,9,1
849,57,0,1,3,1,1,709,12,-1
850,33,0,2,2,1,1,2235,20,-1
853,32,0,1,1,1,1,1442,18,-1
858,29,1,2,3,1,1,3959,15,-1
862,35,1,2,3,1,1,2439,24,-1
866,27,1,2,3,1,1,2389,18,1
869,24,1,2,2,1,1,652,12,1
871,46,0,2,3,1,3,1343,6,1
872,26,0,2,3,2,1,1382,24,1
874,29,0,1,3,1,1,3590,12,1
875,40,1,2,3,4,2,1322,11,1
876,36,0,3,1,1,1,1940,18,1
878,27,0,3,1,1,1,1422,9,-1
884,43,0,2,3,1,2,4057,24,-1
885,53,1,2,3,1,1,795,12,-1
887,23,0,2,3,1,2,15672,48,-1
890,43,0,3,3,1,1,2442,27,1
892,38,0,1,3,1,1,2171,12,1
893,34,0,2,3,1,2,5800,36,1
896,28,1,3,2,1,1,2606,21,1
899,42,0,2,3,1,1,4153,18,-1
900,43,0,2,2,1,1,2625,16,-1
905,20,0,3,2,1,1,1107,12,1
911,25,1,1,3,1,2,4736,24,-1
914,31,0,2,2,1,1,3161,24,-1
915,32,1,3,3,1,2,18424,48,-1
917,68,0,3,3,1,1,14896,6,-1
918,33,0,2,3,2,1,2359,24,-1
919,39,0,3,2,1,1,3345,24,-1
922,22,1,2,2,1,1,1366,9,-1
923,30,0,2,2,1,2,2002,12,1
924,55,0,2,3,1,1,6872,24,-1
925,46,0,2,3,1,1,697,12,-1
926,21,1,2,2,1,1,1049,18,1
927,39,0,2,1,1,1,10297,48,-1
929,43,0,1,3,1,1,1344,12,1
930,24,0,1,3,1,1,1747,24,1
931,22,1,2,3,1,2,1670,9,-1
934,23,1,2,3,1,1,1498,12,1
935,30,0,3,3,2,2,1919,30,-1
936,28,1,1,3,1,3,745,9,-1
937,30,0,3,2,1,2,2063,6,1
938,42,0,2,1,1,2,6288,60,-1
944,46,1,2,2,1,1,1845,15,1
945,30,1,2,3,3,2,8358,48,1
946,30,0,2,1,3,1,3349,24,-1
950,40,0,0,3,1,2,3590,18,1
951,24,0,2,3,1,1,2145,36,-1
952,28,1,2,2,3,2,4113,24,-1
954,29,1,2,3,1,1,1893,12,1
955,57,1,3,2,4,1,1231,24,1
957,37,0,1,3,1,2,1154,9,1
958,45,0,1,3,1,1,4006,28,-1
959,30,0,2,1,2,2,3069,24,1
961,47,0,2,3,1,2,2353,21,1
964,22,0,1,3,1,2,454,6,1
966,23,0,1,3,3,2,2520,27,-1
969,40,0,1,3,1,1,3939,11,1
970,22,0,2,3,2,2,1514,15,1
972,29,1,0,2,1,1,1193,24,-1
973,36,0,2,2,1,1,7297,60,-1
975,57,1,1,3,3,3,1258,24,1
976,64,1,2,3,1,2,753,6,1
979,25,0,2,2,2,2,1264,15,-1
980,49,0,2,3,1,2,8386,30,-1
982,28,1,3,3,2,3,2923,21,1
983,26,0,2,3,1,1,8229,36,-1
985,25,1,2,2,1,1,1433,15,1
986,33,0,2,3,1,3,6289,42,1
988,29,0,3,1,1,1,6579,24,1
989,48,0,1,3,1,2,1743,24,1
993,30,0,3,3,1,1,3959,36,1
996,40,0,3,3,1,1,3857,30,1
998,23,0,2,1,1,1,1845,45,-1
999,27,0,2,3,2,2,4576,45,1
