,gender,lsat,pass_bar,race1,ugpa
240,1,36.0,1,0,3.5
241,0,46.0,1,0,3.5
242,0,43.0,1,0,3.5
243,1,46.0,1,0,3.5
244,1,22.0,-1,1,3.5
245,0,32.0,1,0,3.5
246,1,38.0,1,0,3.5
247,0,48.0,1,0,3.5
248,0,38.0,1,0,3.5
249,0,33.0,1,0,3.5
250,1,42.0,1,0,3.5
251,1,38.0,1,1,3.5
252,1,42.0,1,0,3.5
253,0,38.0,1,0,3.5
255,0,39.5,1,0,3.5
256,0,29.0,1,0,3.5
257,1,30.0,1,1,3.5
259,0,42.0,1,0,3.5
260,1,36.0,1,0,3.5
261,1,37.0,1,0,3.5
262,0,38.0,1,1,3.5
263,0,45.0,1,0,3.5
264,1,43.0,1,0,3.5
265,1,37.0,1,0,3.5
266,1,39.0,1,0,3.5
267,0,38.0,1,0,3.5
268,1,30.0,1,0,3.5
269,1,33.0,1,0,3.5
270,1,39.0,1,0,3.5
271,0,42.0,1,0,3.5
272,0,36.0,-1,0,3.5
273,1,30.5,1,0,3.5
274,1,36.0,1,0,3.5
275,1,45.0,1,0,3.5
276,0,29.0,1,0,3.5
277,0,43.0,1,0,3.5
278,0,48.0,1,0,3.5
279,0,35.5,1,0,3.5
280,1,40.0,1,0,3.5
281,1,40.0,1,0,3.5
282,1,38.0,1,0,3.5
283,0,44.0,1,0,3.5
284,1,33.0,1,1,3.5
285,0,34.0,1,1,3.5
286,0,37.0,1,0,3.5
287,0,38.0,1,0,3.5
288,0,44.0,1,0,3.5
289,1,39.0,1,0,3.5
290,1,26.0,1,1,3.5
291,1,40.0,1,0,3.5
292,0,43.5,1,0,3.5
294,1,37.0,1,0,3.5
295,0,40.0,1,0,3.5
296,1,41.0,1,0,3.5
298,0,39.0,1,0,3.5
299,0,30.5,1,0,3.5
301,1,34.0,1,0,3.5
302,0,36.0,1,0,3.5
303,1,46.0,1,0,3.5
304,1,37.0,-1,0,3.5
305,1,44.0,1,0,3.5
306,1,43.0,1,0,3.5
307,0,32.0,1,1,3.5
308,1,42.0,1,0,3.5
309,1,42.0,1,0,3.5
310,1,45.0,1,0,3.5
311,1,35.5,1,0,3.5
312,1,34.0,1,0,3.5
313,0,39.0,1,0,3.5
316,1,44.0,1,0,3.5
317,1,35.0,1,0,3.5
318,1,37.0,1,0,3.5
319,1,33.0,1,0,3.5
320,0,35.0,1,0,3.5
321,0,38.0,1,0,3.5
322,1,37.0,1,0,3.5
323,1,40.0,1,0,3.5
324,0,33.0,1,0,3.5
325,0,38.5,1,0,3.5
326,1,33.0,1,0,3.5
327,0,45.0,1,0,3.5
329,0,30.0,1,0,3.5
330,1,31.0,1,0,3.5
331,1,40.0,1,0,3.5
332,0,46.0,1,0,3.5
333,0,44.0,1,1,3.5
334,0,28.0,1,0,3.5
335,1,37.0,1,0,3.5
336,0,34.0,1,0,3.5
337,1,29.0,1,0,3.5
338,0,35.0,1,0,3.5
339,1,28.0,1,1,3.5
340,0,38.0,1,0,3.5
341,0,36.3,1,0,3.5
342,0,41.0,1,0,3.5
343,0,46.0,1,0,3.5
344,0,38.0,1,0,3.5
345,0,37.0,1,0,3.5
347,0,37.0,1,0,3.5
349,0,42.0,1,0,3.5
350,1,37.5,-1,0,3.5
351,1,34.0,1,0,3.5
353,0,45.0,1,0,3.5
354,1,39.0,1,0,3.5
355,0,38.0,1,0,3.5
356,0,48.0,1,0,3.5
358,1,42.0,1,0,3.5
359,0,44.0,1,0,3.5
360,1,42.0,1,0,3.5
361,1,35.0,1,0,3.5
363,1,38.0,1,0,3.5
364,1,40.0,1,0,3.5
365,1,41.0,1,0,3.5
366,0,41.0,1,0,3.5
367,0,40.0,1,0,3.5
368,1,37.5,1,0,3.5
369,1,44.0,1,0,3.5
370,0,41.0,1,0,3.5
371,1,45.0,1,0,3.5
372,0,40.0,1,0,3.5
373,0,40.0,1,0,3.5
374,1,24.0,1,1,3.5
375,0,36.0,1,1,3.5
376,1,32.0,1,1,3.5
380,1,34.0,1,0,3.5
381,0,38.0,1,0,3.5
382,0,35.5,1,0,3.5
384,1,34.0,1,0,3.5
385,1,30.0,1,0,3.5
386,1,37.0,1,0,3.5
387,1,36.0,1,0,3.5
388,1,47.0,1,0,3.5
389,0,27.0,1,0,3.5
390,0,40.0,1,0,3.5
393,0,34.0,1,0,3.5
394,0,30.0,1,0,3.5
395,1,36.0,1,0,3.5
396,1,38.0,1,0,3.5
397,0,48.0,1,0,3.5
399,0,36.0,1,0,3.5
400,1,36.0,1,0,3.5
401,1,44.0,1,1,3.5
403,0,38.0,1,0,3.5
404,0,28.0,1,0,3.5
405,0,38.0,1,0,3.5
406,0,39.0,1,0,3.5
407,1,35.0,1,0,3.5
408,0,34.5,1,0,3.5
409,1,30.0,1,0,3.5
412,0,28.0,1,0,3.5
414,0,42.0,1,0,3.5
415,1,33.0,1,1,3.5
416,0,40.0,1,0,3.5
417,1,41.0,-1,0,3.5
418,1,34.0,1,0,3.5
419,0,38.5,1,0,3.5
420,1,41.0,1,0,3.5
422,1,43.0,1,1,3.5
423,0,48.0,1,0,3.5
424,1,34.0,1,0,3.5
425,1,35.0,1,0,3.5
427,1,38.0,1,0,3.5
428,0,37.0,1,0,3.5
429,0,40.0,1,0,3.5
430,1,34.0,1,0,3.5
432,1,28.0,1,0,3.5
433,1,35.0,1,0,3.5
434,1,42.0,1,0,3.5
436,1,48.0,1,1,3.5
437,1,37.5,1,0,3.5
438,0,48.0,1,0,3.5
439,0,47.0,1,0,3.5
440,1,34.0,1,0,3.5
441,0,32.5,1,0,3.5
442,1,30.0,1,1,3.5
443,0,35.0,1,0,3.5
444,1,35.5,1,0,3.5
445,0,44.0,1,0,3.5
446,1,34.0,1,0,3.5
450,0,39.0,1,0,3.5
451,1,34.0,1,0,3.5
453,0,31.0,1,0,3.5
454,1,46.0,1,1,3.5
455,1,36.0,1,0,3.5
456,1,32.0,1,1,3.5
457,1,30.0,1,0,3.5
459,0,36.0,1,0,3.5
460,0,37.0,1,0,3.5
461,1,42.0,1,0,3.5
462,0,44.0,1,0,3.5
464,0,39.0,1,0,3.5
465,0,33.0,1,0,3.5
466,1,38.0,1,0,3.5
467,1,44.0,1,0,3.5
468,0,45.0,1,0,3.5
469,1,29.5,1,0,3.5
470,0,41.0,1,0,3.5
471,1,43.0,1,0,3.5
473,0,37.0,1,0,3.5
474,1,38.0,1,0,3.5
476,0,46.0,1,0,3.5
477,1,40.0,1,0,3.5
478,0,33.0,1,0,3.5
479,1,32.0,1,0,3.5
480,1,32.0,1,0,3.5
482,1,44.0,1,0,3.5
483,0,29.0,1,0,3.5
484,1,35.0,-1,0,3.5
485,0,41.0,1,0,3.5
486,0,39.0,1,0,3.5
487,0,31.5,1,0,3.5
488,0,45.0,1,0,3.5
489,1,43.0,1,0,3.5
490,1,33.0,1,0,3.5
491,1,34.0,1,0,3.5
492,0,34.0,1,0,3.5
493,0,26.7,1,0,3.5
494,0,42.0,1,0,3.5
495,1,29.0,-1,1,3.5
496,0,29.0,1,0,3.5
498,0,44.0,1,0,3.5
499,1,48.0,1,0,3.5
500,1,32.0,1,1,3.5
501,0,26.0,1,0,3.5
503,1,42.0,1,0,3.5
505,1,41.0,1,1,3.5
506,1,39.0,1,1,3.5
507,1,47.0,1,0,3.5
508,1,45.0,1,0,3.5
509,0,44.0,1,0,3.5
510,1,37.0,1,0,3.5
511,1,36.0,1,1,3.5
512,1,44.0,1,0,3.5
513,0,34.0,1,0,3.5
514,1,35.0,1,0,3.5
516,0,34.0,1,0,3.5
517,0,34.0,1,0,3.5
518,0,39.0,1,0,3.5
519,0,40.0,1,0,3.5
520,0,48.0,1,0,3.5
521,1,34.0,1,0,3.5
522,1,34.0,1,0,3.5
523,0,29.5,1,0,3.5
524,1,40.0,1,0,3.5
525,1,37.0,1,0,3.5
526,1,36.0,1,0,3.5
527,0,37.0,1,0,3.5
528,1,39.0,1,0,3.5
530,1,30.0,-1,0,3.5
531,0,41.0,1,0,3.5
532,0,28.7,1,0,3.5
533,1,38.0,1,0,3.5
534,0,29.0,1,1,3.5
535,0,35.0,1,0,3.5
536,0,35.0,1,0,3.5
537,0,39.0,1,0,3.5
538,0,43.0,1,0,3.5
539,1,39.0,1,0,3.5
540,1,34.0,1,0,3.5
541,0,37.0,1,0,3.5
542,0,40.0,1,0,3.5
544,1,36.0,1,0,3.5
545,1,41.0,1,0,3.5
546,0,40.0,1,0,3.5
547,0,26.0,1,1,3.5
549,1,35.0,1,0,3.5
550,1,30.0,1,0,3.5
551,1,44.0,1,1,3.5
552,1,31.0,-1,1,3.5
553,0,35.0,1,0,3.5
554,1,37.0,1,0,3.5
555,0,40.0,1,0,3.5
556,1,30.0,1,0,3.5
557,1,37.0,1,0,3.5
558,0,39.0,1,0,3.5
559,0,46.0,1,0,3.5
560,1,25.0,1,0,3.5
561,0,42.0,1,0,3.5
562,0,41.0,1,0,3.5
563,0,41.0,1,0,3.5
564,0,44.0,1,0,3.5
565,1,30.0,1,0,3.5
566,0,39.0,1,0,3.5
567,1,39.0,1,0,3.5
568,1,27.0,1,0,3.5
569,0,41.0,1,0,3.5
570,0,48.0,1,0,3.5
571,0,34.0,1,0,3.5
572,1,28.0,1,0,3.5
573,0,36.0,1,0,3.5
574,1,35.0,1,0,3.5
575,0,48.0,1,0,3.5
576,0,34.0,1,0,3.5
577,0,46.0,1,0,3.5
578,0,48.0,1,0,3.5
579,1,43.0,1,0,3.5
580,0,41.0,1,0,3.5
581,0,33.0,1,0,3.5
582,0,38.0,1,0,3.5
583,0,42.0,1,1,3.5
584,1,18.0,1,1,3.5
585,0,36.0,1,0,3.5
586,0,47.0,1,0,3.5
587,1,30.0,1,0,3.5
588,1,35.0,1,0,3.5
589,1,25.0,1,1,3.5
590,0,33.0,1,0,3.5
592,1,40.0,1,1,3.5
593,1,34.0,1,0,3.5
594,0,38.0,1,0,3.5
595,0,39.5,1,0,3.5
596,0,47.0,1,0,3.5
597,0,45.0,1,0,3.5
598,1,42.0,1,0,3.5
599,0,46.0,1,0,3.5
600,0,47.0,1,0,3.5
602,0,33.0,1,0,3.5
603,1,46.0,1,0,3.5
604,0,39.0,1,0,3.5
605,1,35.0,1,0,3.5
606,0,31.0,1,0,3.5
607,1,42.0,1,0,3.5
608,1,29.0,1,1,3.5
610,1,33.0,1,0,3.5
611,0,39.5,1,0,3.5
612,1,33.0,1,0,3.5
613,0,42.0,1,0,3.5
614,1,34.0,1,0,3.5
616,1,38.0,1,0,3.5
617,0,42.0,1,0,3.5
618,0,40.0,1,1,3.5
619,0,36.0,1,0,3.5
620,1,33.0,1,0,3.5
621,0,32.5,1,0,3.5
622,0,33.0,1,0,3.5
623,1,27.5,1,0,3.5
624,0,45.0,1,0,3.5
625,0,37.0,1,0,3.5
626,1,41.0,1,0,3.5
627,0,41.0,1,0,3.5
628,0,38.0,1,0,3.5
629,0,26.0,1,0,3.5
630,0,45.0,1,0,3.5
631,1,40.0,1,0,3.5
632,1,34.0,1,0,3.5
633,0,40.0,1,0,3.5
634,1,36.0,1,0,3.5
635,0,36.0,1,0,3.5
636,1,31.0,1,1,3.5
637,1,34.0,1,0,3.5
638,1,40.0,1,0,3.5
639,0,33.0,1,0,3.5
640,0,48.0,1,0,3.5
641,0,32.0,1,0,3.5
642,1,46.0,1,0,3.5
643,1,40.0,1,0,3.5
644,0,34.0,1,0,3.5
645,1,31.0,1,0,3.5
646,1,34.0,1,0,3.5
647,1,39.0,1,0,3.5
649,0,34.0,1,0,3.5
650,0,36.0,1,0,3.5
651,0,32.0,1,0,3.5
652,0,48.0,1,0,3.5
654,0,35.0,1,0,3.5
655,1,36.0,1,0,3.5
656,0,36.0,1,0,3.5
657,0,38.0,1,0,3.5
658,0,42.0,1,0,3.5
660,0,39.0,1,0,3.5
661,0,39.0,1,0,3.5
662,0,46.0,1,0,3.5
663,1,34.0,1,1,3.5
664,1,40.0,1,0,3.5
665,1,36.0,1,0,3.5
666,0,47.0,1,0,3.5
667,1,38.0,1,0,3.5
668,0,43.0,1,0,3.5
669,1,31.0,-1,0,3.5
670,1,39.0,1,0,3.5
671,1,25.0,1,1,3.5
672,1,39.0,1,0,3.5
673,1,36.5,1,0,3.5
675,1,37.0,1,1,3.5
676,1,39.0,1,0,3.5
677,0,26.0,1,0,3.5
678,1,37.0,1,0,3.5
679,0,25.0,-1,1,3.5
680,0,28.0,1,0,3.5
681,0,34.0,1,0,3.5
682,1,35.0,1,1,3.5
683,1,36.0,1,0,3.5
684,0,36.0,1,0,3.5
685,1,48.0,1,0,3.5
686,0,31.0,1,0,3.5
687,0,35.0,1,0,3.5
689,0,36.0,1,0,3.5
690,1,45.0,1,0,3.5
691,1,46.0,1,0,3.5
692,0,48.0,1,0,3.5
693,1,28.5,1,0,3.5
694,0,36.0,1,0,3.5
695,1,37.0,1,0,3.5
696,1,27.0,1,0,3.5
697,0,35.0,1,0,3.5
698,1,40.0,1,0,3.5
699,0,37.0,1,0,3.5
700,1,38.0,1,0,3.5
701,1,42.0,1,0,3.5
702,0,32.0,1,0,3.5
703,0,37.0,1,0,3.5
704,1,29.0,1,0,3.5
705,1,36.0,1,0,3.5
706,1,40.0,1,0,3.5
707,1,35.0,1,0,3.5
708,1,45.0,1,0,3.5
709,1,40.0,1,0,3.5
711,0,41.0,1,0,3.5
712,0,39.0,1,1,3.5
713,0,39.0,1,0,3.5
714,1,34.0,1,0,3.5
715,1,38.0,1,0,3.5
716,0,46.0,1,0,3.5
718,0,45.0,1,0,3.5
720,0,38.0,1,0,3.5
721,0,29.5,1,0,3.5
722,1,39.0,1,1,3.5
724,0,37.0,1,0,3.5
725,0,42.0,1,0,3.5
726,0,30.5,1,0,3.5
727,1,38.0,1,0,3.5
728,0,36.0,-1,1,3.5
729,0,31.5,1,0,3.5
731,0,33.0,1,1,3.5
732,1,46.0,1,0,3.5
733,1,36.0,1,0,3.5
734,1,39.0,1,0,3.5
735,1,33.5,1,1,3.5
736,0,41.0,1,0,3.5
737,0,33.0,1,0,3.5
738,0,33.0,1,0,3.5
739,0,43.0,1,0,3.5
740,0,30.0,1,1,3.5
741,1,39.0,1,0,3.5
742,1,32.0,1,1,3.5
743,0,37.0,1,0,3.5
744,1,41.0,1,0,3.5
745,1,45.0,1,0,3.5
746,1,21.0,1,1,3.5
747,1,31.0,1,0,3.5
748,1,33.0,1,0,3.5
749,0,39.0,1,0,3.5
750,0,35.5,1,0,3.5
751,0,39.0,1,0,3.5
752,1,34.0,1,0,3.5
753,1,39.0,1,0,3.5
754,0,41.0,1,0,3.5
755,0,33.0,1,0,3.5
756,1,34.5,1,0,3.5
758,0,33.0,1,0,3.5
759,0,43.0,1,0,3.5
760,0,37.0,1,0,3.5
761,1,43.0,1,0,3.5
762,0,46.0,1,0,3.5
763,1,38.0,1,0,3.5
764,1,39.0,1,0,3.5
765,1,36.0,1,0,3.5
766,1,35.0,1,0,3.5
767,0,39.0,1,0,3.5
768,1,36.0,1,0,3.5
769,1,30.0,1,0,3.5
770,0,35.0,1,0,3.5
771,1,37.0,1,0,3.5
772,0,33.5,1,0,3.5
773,0,34.0,1,0,3.5
774,0,36.0,1,0,3.5
775,0,36.0,1,0,3.5
776,1,38.0,1,0,3.5
777,0,39.0,1,0,3.5
778,0,45.0,1,0,3.5
779,0,36.0,1,0,3.5
780,0,40.0,1,0,3.5
782,0,37.0,1,0,3.5
783,1,39.0,1,0,3.5
785,1,28.0,1,0,3.5
786,1,41.0,1,0,3.5
787,1,40.5,1,0,3.5
788,1,39.0,1,0,3.5
789,0,46.0,1,0,3.5
790,1,40.0,1,0,3.5
791,1,36.0,1,1,3.5
792,1,35.0,1,0,3.5
793,1,33.5,1,0,3.5
794,0,33.0,1,0,3.5
795,0,41.0,1,0,3.5
796,0,36.0,1,0,3.5
797,0,37.0,1,0,3.5
798,1,33.0,1,0,3.5
799,1,33.0,1,0,3.5
800,0,40.0,1,0,3.5
801,1,39.0,1,0,3.5
802,1,47.0,1,0,3.5
803,1,31.0,1,0,3.5
804,0,37.0,1,0,3.5
805,1,31.0,-1,0,3.5
806,0,41.0,1,0,3.5
807,1,30.0,1,0,3.5
808,1,39.0,1,0,3.5
809,0,36.0,1,0,3.5
810,0,29.0,-1,0,3.5
811,1,44.0,1,0,3.5
812,0,29.0,1,0,3.5
813,0,38.0,1,0,3.5
814,0,36.0,1,0,3.5
815,1,38.0,1,0,3.5
816,1,35.5,1,0,3.5
817,0,30.5,1,0,3.5
818,1,28.5,1,1,3.5
819,1,32.0,1,0,3.5
820,0,39.0,1,0,3.5
821,0,38.0,1,0,3.5
822,1,36.0,1,0,3.5
823,0,47.0,1,0,3.5
824,1,42.0,1,0,3.5
825,1,31.0,-1,0,3.5
826,0,39.0,1,0,3.5
827,1,24.0,1,1,3.5
828,0,32.0,1,0,3.5
829,0,42.0,1,0,3.5
830,1,35.0,1,0,3.5
832,1,33.0,1,1,3.5
834,0,35.0,1,0,3.5
835,1,30.5,1,0,3.5
837,1,27.0,1,1,3.5
838,1,42.0,1,0,3.5
839,0,44.0,1,0,3.5
841,1,36.5,1,0,3.5
842,1,44.0,1,1,3.5
843,1,38.0,1,0,3.5
844,1,46.0,1,0,3.5
845,1,31.0,1,0,3.5
846,1,31.5,1,0,3.5
847,0,36.5,1,0,3.5
848,1,29.5,1,0,3.5
849,0,35.0,1,0,3.5
850,0,37.0,1,0,3.5
851,0,42.0,1,0,3.5
852,0,25.0,1,1,3.5
853,0,37.0,1,0,3.5
854,1,43.0,1,0,3.5
855,0,45.0,1,0,3.5
856,1,38.0,1,0,3.5
857,1,35.0,-1,0,3.5
858,1,36.0,1,0,3.5
859,0,47.0,1,0,3.5
860,1,43.0,1,1,3.5
861,0,43.0,1,0,3.5
862,0,42.0,1,0,3.5
863,1,42.0,1,0,3.5
864,1,39.0,1,0,3.5
865,1,46.0,1,0,3.5
866,0,39.0,1,0,3.5
867,0,34.5,-1,0,3.5
868,0,24.0,1,1,3.5
869,0,26.0,1,1,3.5
870,1,32.0,1,0,3.5
873,1,39.0,1,0,3.5
874,0,38.0,1,0,3.5
875,1,33.0,1,0,3.5
876,0,30.5,1,0,3.5
878,1,41.0,1,0,3.5
879,0,36.0,1,0,3.5
880,1,47.0,1,0,3.5
881,0,43.0,1,1,3.5
882,1,36.0,1,0,3.5
883,1,31.0,1,0,3.5
884,0,44.0,1,0,3.5
886,1,33.0,1,0,3.5
887,1,35.0,1,1,3.5
889,0,27.5,1,1,3.5
890,0,44.0,1,0,3.5
891,0,37.0,1,0,3.5
892,1,42.0,1,0,3.5
893,1,40.0,1,0,3.5
894,0,41.0,1,0,3.5
895,1,35.0,1,0,3.5
897,1,42.0,1,0,3.5
899,1,33.5,1,0,3.5
900,1,42.0,1,0,3.5
901,0,32.7,1,0,3.5
902,0,34.5,1,0,3.5
903,0,29.5,1,0,3.5
904,0,48.0,1,0,3.5
905,0,30.0,1,0,3.5
906,0,41.0,1,0,3.5
907,0,44.0,1,0,3.5
908,1,41.0,1,0,3.5
909,1,40.0,1,0,3.5
910,0,42.0,1,0,3.5
911,0,34.0,1,0,3.5
912,0,36.0,1,0,3.5
913,0,38.0,1,1,3.5
914,1,38.0,1,0,3.5
915,1,37.0,1,0,3.5
916,0,47.0,1,0,3.5
917,1,32.0,1,0,3.5
918,1,42.0,1,0,3.5
920,1,38.0,1,0,3.5
921,0,40.0,1,0,3.5
922,0,36.0,1,0,3.5
923,1,38.0,1,0,3.5
924,1,32.5,1,0,3.5
925,1,41.0,1,0,3.5
926,0,33.0,1,0,3.5
927,1,33.0,1,1,3.5
929,1,41.0,1,0,3.5
930,1,36.5,1,0,3.5
931,1,46.0,1,0,3.5
932,0,34.0,1,0,3.5
933,1,34.0,1,0,3.5
935,0,39.0,1,0,3.5
936,1,33.0,1,0,3.5
937,0,37.0,1,0,3.5
938,0,37.0,1,0,3.5
939,1,40.0,1,0,3.5
940,0,29.0,1,0,3.5
941,1,39.0,1,0,3.5
942,0,36.0,1,0,3.5
943,1,27.0,1,0,3.5
944,0,34.0,1,0,3.5
945,0,42.0,1,0,3.5
946,0,46.0,1,0,3.5
947,1,38.0,1,0,3.5
948,1,36.0,1,0,3.5
949,1,37.0,1,1,3.5
950,0,39.0,1,0,3.5
951,1,39.0,1,0,3.5
952,0,34.0,1,0,3.5
953,0,33.0,1,0,3.5
954,1,41.0,1,0,3.5
955,0,31.0,1,0,3.5
957,1,35.0,1,0,3.5
958,1,34.0,1,0,3.5
959,1,43.0,1,0,3.5
960,0,39.0,1,0,3.5
961,1,36.0,1,1,3.5
962,1,39.0,1,0,3.5
963,1,37.0,1,1,3.5
965,1,34.0,1,0,3.5
966,1,43.0,1,0,3.5
967,0,29.0,1,0,3.5
968,0,34.0,1,0,3.5
969,1,35.0,1,0,3.5
970,0,35.0,1,0,3.5
